book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,27,37,14286,הֵ֣ן ,,hˈēn, 
Genesis,27,37,14287,גְּבִ֞יר ,,gᵊvˈîr, 
Genesis,27,37,14288,שַׂמְתִּ֥יו ,,śamtˌiʸw, 
Genesis,27,37,14289,לָךְ֙ ,,lāḵ, 
Genesis,28,18,14860,וַ,,wa,
Genesis,28,18,14861,יָּ֥שֶׂם ,,yyˌāśem, 
Genesis,28,18,14862,אֹתָ֖הּ ,,ʔōṯˌāh, 
Genesis,28,18,14863,מַצֵּבָ֑ה ,,maṣṣēvˈā, 
Genesis,47,6,26688,וְ,,wᵊ,
Genesis,47,6,26689,שַׂמְתָּ֛ם ,,śamtˈām, 
Genesis,47,6,26690,שָׂרֵ֥י ,,śārˌê, 
Genesis,47,6,26691,מִקְנֶ֖ה ,,miqnˌeh, 
Exodus,28,12,43931,וְ,,wᵊ,
Exodus,28,12,43932,שַׂמְתָּ֞ ,,śamtˈā, 
Exodus,28,12,43933,אֶת־,,ʔeṯ-,
Exodus,28,12,43934,שְׁתֵּ֣י ,,šᵊttˈê, 
Exodus,28,12,43935,הָ,,hā,
Exodus,28,12,43936,אֲבָנִ֗ים ,,ʔᵃvānˈîm, 
Exodus,28,12,43937,עַ֚ל ,,ˈʕal, 
Exodus,28,12,43938,כִּתְפֹ֣ת ,,kiṯᵊfˈōṯ, 
Exodus,28,12,43939,הָֽ,,hˈā,
Exodus,28,12,43940,אֵפֹ֔ד ,,ʔēfˈōḏ, 
Exodus,28,12,43941,אַבְנֵ֥י ,,ʔavnˌê, 
Exodus,28,12,43942,זִכָּרֹ֖ן ,,zikkārˌōn, 
Exodus,28,12,43943,לִ,,li,
Exodus,28,12,43944,בְנֵ֣י ,,vᵊnˈê, 
Exodus,28,12,43945,יִשְׂרָאֵ֑ל ,,yiśrāʔˈēl, 
Leviticus,24,6,66853,וְ,,wᵊ,
Leviticus,24,6,66854,שַׂמְתָּ֥ ,,śamtˌā, 
Leviticus,24,6,66855,אֹותָ֛ם ,,ʔôṯˈām, 
Leviticus,24,6,66856,שְׁתַּ֥יִם ,,šᵊttˌayim, 
Leviticus,24,6,66857,מַֽעֲרָכֹ֖ות ,,mˈaʕᵃrāḵˌôṯ, 
Leviticus,24,6,66861,עַ֛ל ,,ʕˈal, 
Leviticus,24,6,66862,הַ,,ha,
Leviticus,24,6,66863,שֻּׁלְחָ֥ן ,,ššulḥˌān, 
Leviticus,24,6,66864,הַ,,ha,
Leviticus,24,6,66865,טָּהֹ֖ר ,,ṭṭāhˌōr, 
Leviticus,24,6,66866,לִ,,li,
Leviticus,24,6,66867,פְנֵ֥י ,,fᵊnˌê, 
Leviticus,24,6,66868,יְהוָֽה׃ ,,[yᵊhwˈāh], . 
Josua,8,12,117090,וַ,,wa,
Josua,8,12,117091,יָּ֨שֶׂם ,,yyˌāśem, 
Josua,8,12,117092,אֹותָ֜ם ,,ʔôṯˈām, 
Josua,8,12,117093,אֹרֵ֗ב ,,ʔōrˈēv, 
Josua,8,12,117094,בֵּ֧ין ,,bˈên, 
Josua,8,12,117095,בֵּֽית־אֵ֛ל ,,bˈêṯ-ʔˈēl, 
Josua,8,12,117096,וּ,,û,
Josua,8,12,117097,בֵ֥ין ,,vˌên, 
Josua,8,12,117098,הָ,,hā,
Josua,8,12,117099,עַ֖י ,,ʕˌay, 
Josua,8,12,117100,מִ,,mi,
Josua,8,12,117101,יָּ֥ם ,,yyˌom, 
Josua,8,12,117102,לָ,,lā,
Josua,8,12,117103,,,,
Josua,8,12,117104,עִֽיר׃ ,,ʕˈîr, . 
Josua,8,28,117514,וַ,,wa,
Josua,8,28,117515,יְשִׂימֶ֤הָ ,,yᵊśîmˈehā, 
Josua,8,28,117516,תֵּל־,,tēl-,
Josua,8,28,117517,עֹולָם֙ ,,ʕôlˌām, 
Josua,8,28,117518,שְׁמָמָ֔ה ,,šᵊmāmˈā, 
Josua,8,28,117519,עַ֖ד ,,ʕˌaḏ, 
Josua,8,28,117520,הַ,,ha,
Josua,8,28,117521,יֹּ֥ום ,,yyˌôm, 
Josua,8,28,117522,הַ,,ha,
Josua,8,28,117523,זֶּֽה׃ ,,zzˈeh, . 
Judices,8,31,132792,וַ,,wa,
Judices,8,31,132793,יָּ֥שֶׂם ,,yyˌāśem, 
Judices,8,31,132794,אֶת־,,ʔeṯ-,
Judices,8,31,132795,שְׁמֹ֖ו ,,šᵊmˌô, 
Judices,8,31,132796,אֲבִימֶֽלֶךְ׃ ,,ʔᵃvîmˈeleḵ, . 
Samuel_I,8,1,145093,וַ,,wa,
Samuel_I,8,1,145094,יָּ֧שֶׂם ,,yyˈāśem, 
Samuel_I,8,1,145095,אֶת־,,ʔeṯ-,
Samuel_I,8,1,145096,בָּנָ֛יו ,,bānˈāʸw, 
Samuel_I,8,1,145097,שֹׁפְטִ֖ים ,,šōfᵊṭˌîm, 
Samuel_I,8,1,145098,לְ,,lᵊ,
Samuel_I,8,1,145099,יִשְׂרָאֵֽל׃ ,,yiśrāʔˈēl, . 
Samuel_I,11,2,146880,וְ,,wᵊ,
Samuel_I,11,2,146881,שַׂמְתִּ֥יהָ ,,śamtˌîhā, 
Samuel_I,11,2,146882,חֶרְפָּ֖ה ,,ḥerpˌā, 
Samuel_I,11,2,146883,עַל־,,ʕal-,
Samuel_I,11,2,146884,כָּל־,,kol-,
Samuel_I,11,2,146885,יִשְׂרָאֵֽל׃ ,,yiśrāʔˈēl, . 
Samuel_I,11,11,147086,וַ,,wa,
Samuel_I,11,11,147087,יָּ֨שֶׂם ,,yyˌāśem, 
Samuel_I,11,11,147088,שָׁא֣וּל ,,šāʔˈûl, 
Samuel_I,11,11,147089,אֶת־,,ʔeṯ-,
Samuel_I,11,11,147090,הָ,,hā,
Samuel_I,11,11,147091,עָם֮ ,,ʕām, 
Samuel_I,11,11,147092,שְׁלֹשָׁ֣ה ,,šᵊlōšˈā, 
Samuel_I,11,11,147093,רָאשִׁים֒ ,,rāšîm, 
Samuel_I,18,13,152427,וַ,,wa,
Samuel_I,18,13,152428,יְשִׂמֵ֥הוּ ,,yᵊśimˌēhû, 
Samuel_I,18,13,152429,לֹ֖ו ,,lˌô, 
Samuel_I,18,13,152430,שַׂר־,,śar-,
Samuel_I,18,13,152431,אָ֑לֶף ,,ʔˈālef, 
Samuel_I,28,2,158549,לָכֵ֗ן ,,lāḵˈēn, 
Samuel_I,28,2,158550,שֹׁמֵ֧ר ,,šōmˈēr, 
Samuel_I,28,2,158551,לְ,,lᵊ,
Samuel_I,28,2,158552,רֹאשִׁ֛י ,,rōšˈî, 
Samuel_I,28,2,158553,אֲשִֽׂימְךָ֖ ,,ʔᵃśˈîmᵊḵˌā, 
Samuel_I,28,2,158554,כָּל־,,kol-,
Samuel_I,28,2,158555,הַ,,ha,
Samuel_I,28,2,158556,יָּמִֽים׃ פ ,,yyāmˈîm . f, 
Samuel_II,15,4,168960,מִי־,,mî-,
Samuel_II,15,4,168961,יְשִׂמֵ֥נִי ,,yᵊśimˌēnî, 
Samuel_II,15,4,168962,שֹׁפֵ֖ט ,,šōfˌēṭ, 
Samuel_II,15,4,168963,בָּ,,bā,
Samuel_II,15,4,168964,,,,
Samuel_II,15,4,168965,אָ֑רֶץ ,,ʔˈāreṣ, 
Reges_I,5,23,179854,וַ֠,,wa,
Reges_I,5,23,179855,אֲנִי ,,ʔᵃnˌî, 
Reges_I,5,23,179856,אֲשִׂימֵ֨ם ,,ʔᵃśîmˌēm, 
Reges_I,5,23,179857,דֹּבְרֹ֤ות ,,dōvᵊrˈôṯ, 
Reges_I,5,23,179858,בַּ,,ba,
Reges_I,5,23,179859,,,,
Reges_I,5,23,179860,יָּם֙ ,,yyˌom, 
Reges_I,5,23,179861,עַֽד־,,ʕˈaḏ-,
Reges_I,5,23,179862,הַ,,ha,
Reges_I,5,23,179863,מָּקֹ֞ום ,,mmāqˈôm, 
Reges_II,17,34,206373,אֲשֶׁר־,,ʔᵃšer-,
Reges_II,17,34,206374,שָׂ֥ם ,,śˌām, 
Reges_II,17,34,206375,שְׁמֹ֖ו ,,šᵊmˌô, 
Reges_II,17,34,206376,יִשְׂרָאֵֽל׃ ,,yiśrāʔˈēl, . 
Jesaia,3,7,213030,לֹ֥א ,,lˌō, 
Jesaia,3,7,213031,תְשִׂימֻ֖נִי ,,ṯᵊśîmˌunî, 
Jesaia,3,7,213032,קְצִ֥ין ,,qᵊṣˌîn, 
Jesaia,3,7,213033,עָֽם׃ ,,ʕˈām, . 
Jesaia,10,6,215615,֯וּ,ו,*û,
Jesaia,10,6,215616,֯לְ,ל,*lᵊ,
Jesaia,10,6,215617, ֯שׂוּמֹ֥ו,שׂימו ,*śûmˌô, 
Jesaia,10,6,215618,מִרְמָ֖ס ,,mirmˌās, 
Jesaia,10,6,215619,כְּ,,kᵊ,
Jesaia,10,6,215620,חֹ֥מֶר ,,ḥˌōmer, 
Jesaia,10,6,215621,חוּצֹֽות׃ ,,ḥûṣˈôṯ, . 
Jesaia,28,15,221079,כִּ֣י ,,kˈî, 
Jesaia,28,15,221080,שַׂ֧מְנוּ ,,śˈamnû, 
Jesaia,28,15,221081,כָזָ֛ב ,,ḵāzˈāv, 
Jesaia,28,15,221082,מַחְסֵ֖נוּ ,,maḥsˌēnû, 
Jesaia,28,25,221259,וְ,,wᵊ,
Jesaia,28,25,221260,שָׂ֨ם ,,śˌām, 
Jesaia,28,25,221261,חִטָּ֤ה ,,ḥiṭṭˈā, 
Jesaia,28,25,221262,שֹׂורָה֙ ,,śôrˌā, 
Jesaia,50,2,229676,אָשִׂ֤ים ,,ʔāśˈîm, 
Jesaia,50,2,229677,נְהָרֹות֙ ,,nᵊhārôṯ, 
Jesaia,50,2,229678,מִדְבָּ֔ר ,,miḏbˈār, 
Jesaia,50,3,229692,וְ,,wᵊ,
Jesaia,50,3,229693,שַׂ֖ק ,,śˌaq, 
Jesaia,50,3,229694,אָשִׂ֥ים ,,ʔāśˌîm, 
Jesaia,50,3,229695,כְּסוּתָֽם׃ ס ,,kᵊsûṯˈām . s, 
Jesaia,51,10,230043,הַ,,ha,
Jesaia,51,10,230044,שָּׂ֨מָה֙ ,,śśˈāmā, 
Jesaia,51,10,230045,מַֽעֲמַקֵּי־,,mˈaʕᵃmaqqê-,
Jesaia,51,10,230046,יָ֔ם ,,yˈom, 
Jesaia,51,10,230047,דֶּ֖רֶךְ ,,dˌereḵ, 
Jesaia,54,12,230962,וְ,,wᵊ,
Jesaia,54,12,230963,שַׂמְתִּ֤י ,,śamtˈî, 
Jesaia,54,12,230964,כַּֽדְכֹד֙ ,,kˈaḏᵊḵōḏ, 
Jesaia,54,12,230965,שִׁמְשֹׁתַ֔יִךְ ,,šimšōṯˈayiḵ, 
Jesaia,60,17,232917,וְ,,wᵊ,
Jesaia,60,17,232918,שַׂמְתִּ֤י ,,śamtˈî, 
Jesaia,60,17,232919,פְקֻדָּתֵךְ֙ ,,fᵊquddāṯēḵ, 
Jesaia,60,17,232920,שָׁלֹ֔ום ,,šālˈôm, 
Jesaia,62,7,233357,וְ,,wᵊ,
Jesaia,62,7,233358,עַד־,,ʕaḏ-,
Jesaia,62,7,233359,יָשִׂ֧ים ,,yāśˈîm, 
Jesaia,62,7,233360,אֶת־,,ʔeṯ-,
Jesaia,62,7,233361,יְרֽוּשָׁלִַ֛ם ,,yᵊrˈûšālˈaim, 
Jesaia,62,7,233362,תְּהִלָּ֖ה ,,tᵊhillˌā, 
Jesaia,62,7,233363,בָּ,,bā,
Jesaia,62,7,233364,,,,
Jesaia,62,7,233365,אָֽרֶץ׃ ,,ʔˈāreṣ, . 
Jeremia,5,22,237510,אֲשֶׁר־,,ʔᵃšer-,
Jeremia,5,22,237511,שַׂ֤מְתִּי ,,śˈamtî, 
Jeremia,5,22,237512,חֹול֙ ,,ḥôl, 
Jeremia,5,22,237513,גְּב֣וּל ,,gᵊvˈûl, 
Jeremia,5,22,237514,לַ,,la,
Jeremia,5,22,237515,,,,
Jeremia,5,22,237516,יָּ֔ם ,,yyˈom, 
Jeremia,6,8,237784,פֶּן־,,pen-,
Jeremia,6,8,237785,אֲשִׂימֵ֣ךְ ,,ʔᵃśîmˈēḵ, 
Jeremia,6,8,237786,שְׁמָמָ֔ה ,,šᵊmāmˈā, 
Jeremia,10,22,240258,לָ,,lā,
Jeremia,10,22,240259,שׂ֞וּם ,,śˈûm, 
Jeremia,10,22,240260,אֶת־,,ʔeṯ-,
Jeremia,10,22,240261,עָרֵ֧י ,,ʕārˈê, 
