book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,17,6,7405,וּ,,û,
Genesis,17,6,7406,נְתַתִּ֖יךָ ,,nᵊṯattˌîḵā, 
Genesis,17,6,7407,לְ,,lᵊ,
Genesis,17,6,7408,גֹויִ֑ם ,,ḡôyˈim, 
Genesis,17,20,7678,וּ,,û,
Genesis,17,20,7679,נְתַתִּ֖יו ,,nᵊṯattˌiʸw, 
Genesis,17,20,7680,לְ,,lᵊ,
Genesis,17,20,7681,גֹ֥וי ,,ḡˌôy, 
Genesis,17,20,7682,גָּדֹֽול׃ ,,gāḏˈôl, . 
Genesis,23,9,10881,בְּ,,bᵊ,
Genesis,23,9,10882,כֶ֨סֶף ,,ḵˌesef, 
Genesis,23,9,10883,מָלֵ֜א ,,mālˈē, 
Genesis,23,9,10884,יִתְּנֶ֥נָּה ,,yittᵊnˌennā, 
Genesis,23,9,10885,לִ֛י ,,lˈî, 
Genesis,23,9,10886,בְּ,,bᵊ,
Genesis,23,9,10887,תֹוכְכֶ֖ם ,,ṯôḵᵊḵˌem, 
Genesis,23,9,10888,לַ,,la,
Genesis,23,9,10889,אֲחֻזַּת־,,ʔᵃḥuzzaṯ-,
Genesis,23,9,10890,קָֽבֶר׃ ,,qˈāver, . 
Genesis,23,11,10930,לְ,,lᵊ,
Genesis,23,11,10931,עֵינֵ֧י ,,ʕênˈê, 
Genesis,23,11,10932,בְנֵי־,,vᵊnê-,
Genesis,23,11,10933,עַמִּ֛י ,,ʕammˈî, 
Genesis,23,11,10934,נְתַתִּ֥יהָ ,,nᵊṯattˌîhā, 
Genesis,23,11,10935,לָּ֖ךְ ,,llˌāḵ, 
Genesis,38,26,21339,כִּֽי־,,kˈî-,
Genesis,38,26,21340,עַל־,,ʕal-,
Genesis,38,26,21341,כֵּ֥ן ,,kˌēn, 
Genesis,38,26,21342,לֹא־,,lō-,
Genesis,38,26,21343,נְתַתִּ֖יהָ ,,nᵊṯattˌîhā, 
Genesis,38,26,21344,לְ,,lᵊ,
Genesis,38,26,21345,שֵׁלָ֣ה ,,šēlˈā, 
Genesis,38,26,21346,בְנִ֑י ,,vᵊnˈî, 
Genesis,48,4,27365,וּ,,û,
Genesis,48,4,27366,נְתַתִּ֖יךָ ,,nᵊṯattˌîḵā, 
Genesis,48,4,27367,לִ,,li,
Genesis,48,4,27368,קְהַ֣ל ,,qᵊhˈal, 
Genesis,48,4,27369,עַמִּ֑ים ,,ʕammˈîm, 
Exodus,13,11,35980,וּ,,û,
Exodus,13,11,35981,נְתָנָ֖הּ ,,nᵊṯānˌāh, 
Exodus,13,11,35982,לָֽךְ׃ ,,lˈāḵ, . 
Exodus,22,16,40882,לְ,,lᵊ,
Exodus,22,16,40883,תִתָּ֣הּ ,,ṯittˈāh, 
Exodus,22,16,40884,לֹ֑ו ,,lˈô, 
Exodus,22,29,41037,בַּ,,ba,
Exodus,22,29,41038,,,,
Exodus,22,29,41039,יֹּ֥ום ,,yyˌôm, 
Exodus,22,29,41040,הַ,,ha,
Exodus,22,29,41041,שְּׁמִינִ֖י ,,ššᵊmînˌî, 
Exodus,22,29,41042,תִּתְּנֹו־,,tittᵊnô-,
Exodus,22,29,41043,לִֽי׃ ,,lˈî, . 
Leviticus,20,24,64867,וַ,,wa,
Leviticus,20,24,64868,אֲנִ֞י ,,ʔᵃnˈî, 
Leviticus,20,24,64869,אֶתְּנֶ֤נָּה ,,ʔettᵊnˈennā, 
Leviticus,20,24,64870,לָכֶם֙ ,,lāḵˌem, 
Numeri,14,8,78562,וּ,,û,
Numeri,14,8,78563,נְתָנָ֖הּ ,,nᵊṯānˌāh, 
Numeri,14,8,78564,לָ֑נוּ ,,lˈānû, 
Deuteronomium,26,13,107462,וְ,,wᵊ,
Deuteronomium,26,13,107463,גַ֨ם ,,ḡˌam, 
Deuteronomium,26,13,107464,נְתַתִּ֤יו ,,nᵊṯattˈiʸw, 
Deuteronomium,26,13,107465,לַ,,la,
Deuteronomium,26,13,107466,,,,
Deuteronomium,26,13,107467,לֵּוִי֙ ,,llēwˌî, 
Deuteronomium,26,13,107468,וְ,,wᵊ,
Deuteronomium,26,13,107469,לַ,,la,
Deuteronomium,26,13,107470,,,,
Deuteronomium,26,13,107471,גֵּר֙ ,,ggˌēr, 
Deuteronomium,26,13,107472,לַ,,la,
Deuteronomium,26,13,107473,,,,
Deuteronomium,26,13,107474,יָּתֹ֣ום ,,yyāṯˈôm, 
Deuteronomium,26,13,107475,וְ,,wᵊ,
Deuteronomium,26,13,107476,לָ,,lā,
Deuteronomium,26,13,107477,,,,
Deuteronomium,26,13,107478,אַלְמָנָ֔ה ,,ʔalmānˈā, 
Deuteronomium,26,13,107479,כְּ,,kᵊ,
Deuteronomium,26,13,107480,כָל־,,ḵol-,
Deuteronomium,26,13,107481,מִצְוָתְךָ֖ ,,miṣwāṯᵊḵˌā, 
Judices,15,2,136775,וָ,,wā,
Judices,15,2,136776,אֶתְּנֶ֖נָּה ,,ʔettᵊnˌennā, 
Judices,15,2,136777,לְ,,lᵊ,
Judices,15,2,136778,מֵרֵעֶ֑ךָ ,,mērēʕˈeḵā, 
Judices,15,6,136869,וַֽ,,wˈa,
Judices,15,6,136870,יִּתְּנָ֖הּ ,,yyittᵊnˌāh, 
Judices,15,6,136871,לְ,,lᵊ,
Judices,15,6,136872,מֵרֵעֵ֑הוּ ,,mērēʕˈēhû, 
Judices,17,4,138088,וַ,,wa,
Judices,17,4,138089,תִּתְּנֵ֣הוּ ,,ttittᵊnˈēhû, 
Judices,17,4,138090,לַ,,la,
Judices,17,4,138091,,,,
Judices,17,4,138092,צֹּורֵ֗ף ,,ṣṣôrˈēf, 
Samuel_I,1,11,141763,וּ,,û,
Samuel_I,1,11,141764,נְתַתִּ֤יו ,,nᵊṯattˈiʸw, 
Samuel_I,1,11,141765,לַֽ,,lˈa,
Samuel_I,1,11,141766,יהוָה֙ ,,[yhwˌāh], 
Samuel_I,1,11,141767,כָּל־,,kol-,
Samuel_I,1,11,141768,יְמֵ֣י ,,yᵊmˈê, 
Samuel_I,1,11,141769,חַיָּ֔יו ,,ḥayyˈāʸw, 
Samuel_I,15,28,150132,וּ,,û,
Samuel_I,15,28,150133,נְתָנָ֕הּ ,,nᵊṯānˈāh, 
Samuel_I,15,28,150134,לְ,,lᵊ,
Samuel_I,15,28,150135,רֵעֲךָ֖ ,,rēʕᵃḵˌā, 
Samuel_I,18,4,152213,וַֽ,,wˈa,
Samuel_I,18,4,152214,יִּתְּנֵ֖הוּ ,,yyittᵊnˌēhû, 
Samuel_I,18,4,152215,לְ,,lᵊ,
Samuel_I,18,4,152216,דָוִ֑ד ,,ḏāwˈiḏ, 
Samuel_I,18,21,152573,אֶתְּנֶ֤נָּה ,,ʔettᵊnˈennā, 
Samuel_I,18,21,152574,לֹּו֙ ,,llˌô, 
Samuel_I,21,10,154627,תְּנֶ֥נָּה ,,tᵊnˌennā, 
Samuel_I,21,10,154628,לִּֽי׃ ,,llˈî, . 
Samuel_I,28,17,158911,וַֽ,,wˈa,
Samuel_I,28,17,158912,יִּתְּנָ֖הּ ,,yyittᵊnˌāh, 
Samuel_I,28,17,158913,לְ,,lᵊ,
Samuel_I,28,17,158914,רֵעֲךָ֥ ,,rēʕᵃḵˌā, 
Samuel_I,28,17,158915,לְ,,lᵊ,
Samuel_I,28,17,158916,דָוִֽד׃ ,,ḏāwˈiḏ, . 
Reges_I,8,46,183154,וּ,,û,
Reges_I,8,46,183155,נְתַתָּ֖ם ,,nᵊṯattˌām, 
Reges_I,8,46,183156,לִ,,li,
Reges_I,8,46,183157,פְנֵ֣י ,,fᵊnˈê, 
Reges_I,8,46,183158,אֹויֵ֑ב ,,ʔôyˈēv, 
Reges_I,8,50,183257,וּ,,û,
Reges_I,8,50,183258,נְתַתָּ֧ם ,,nᵊṯattˈām, 
Reges_I,8,50,183259,לְ,,lᵊ,
Reges_I,8,50,183260,רַחֲמִ֛ים ,,raḥᵃmˈîm, 
Reges_I,8,50,183261,לִ,,li,
Reges_I,8,50,183262,פְנֵ֥י ,,fᵊnˌê, 
Reges_I,8,50,183263,שֹׁבֵיהֶ֖ם ,,šōvêhˌem, 
Reges_I,11,11,185228,וּ,,û,
Reges_I,11,11,185229,נְתַתִּ֖יהָ ,,nᵊṯattˌîhā, 
Reges_I,11,11,185230,לְ,,lᵊ,
Reges_I,11,11,185231,עַבְדֶּֽךָ׃ ,,ʕavdˈeḵā, . 
Reges_I,11,35,185763,וּ,,û,
Reges_I,11,35,185764,נְתַתִּ֣יהָ ,,nᵊṯattˈîhā, 
Reges_I,11,35,185765,לְּךָ֔ ,,llᵊḵˈā, 
Reges_I,11,35,185766,אֵ֖ת ,,ʔˌēṯ, 
Reges_I,11,35,185767,עֲשֶׂ֥רֶת ,,ʕᵃśˌereṯ, 
Reges_I,11,35,185768,הַ,,ha,
Reges_I,11,35,185769,שְּׁבָטִֽים׃ ,,ššᵊvāṭˈîm, . 
Reges_I,14,8,187819,וָ,,wā,
Reges_I,14,8,187820,אֶתְּנֶ֖הָ ,,ʔettᵊnˌehā, 
Reges_I,14,8,187821,לָ֑ךְ ,,lˈāḵ, 
Reges_I,17,23,190292,וַֽ,,wˈa,
Reges_I,17,23,190293,יִּתְּנֵ֖הוּ ,,yyittᵊnˌēhû, 
Reges_I,17,23,190294,לְ,,lᵊ,
Reges_I,17,23,190295,אִמֹּ֑ו ,,ʔimmˈô, 
Reges_II,18,16,206868,וַֽ,,wˈa,
Reges_II,18,16,206869,יִּתְּנֵ֖ם ,,yyittᵊnˌēm, 
Reges_II,18,16,206870,לְ,,lᵊ,
Reges_II,18,16,206871,מֶ֥לֶךְ ,,mˌeleḵ, 
