book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,3,2,1200,הָֽ,,hˈā,
Genesis,3,2,1201,אִשָּׁ֖ה ,,ʔiššˌā, 
Genesis,3,2,1202,אֶל־,,ʔel-,
Genesis,3,2,1203,הַ,,ha,
Genesis,3,2,1204,נָּחָ֑שׁ ,,nnāḥˈāš, 
Genesis,3,4,1234,הַ,,ha,
Genesis,3,4,1235,נָּחָ֖שׁ ,,nnāḥˌāš, 
Genesis,3,4,1236,אֶל־,,ʔel-,
Genesis,3,4,1237,הָֽ,,hˈā,
Genesis,3,4,1238,אִשָּׁ֑ה ,,ʔiššˈā, 
Genesis,16,9,7200,לָהּ֙ ,,lˌāh, 
Genesis,16,9,7201,מַלְאַ֣ךְ ,,malʔˈaḵ, 
Genesis,16,9,7202,יְהוָ֔ה ,,[yᵊhwˈāh], 
Genesis,16,10,7212,לָהּ֙ ,,lˌāh, 
Genesis,16,10,7213,מַלְאַ֣ךְ ,,malʔˈaḵ, 
Genesis,16,10,7214,יְהוָ֔ה ,,[yᵊhwˈāh], 
Genesis,16,11,7226,לָהּ֙ ,,lˌāh, 
Genesis,16,11,7227,מַלְאַ֣ךְ ,,malʔˈaḵ, 
Genesis,16,11,7228,יְהוָ֔ה ,,[yᵊhwˈāh], 
Genesis,17,9,7462,אֱלֹהִים֙ ,,ʔᵉlōhîm, 
Genesis,17,9,7463,אֶל־,,ʔel-,
Genesis,17,9,7464,אַבְרָהָ֔ם ,,ʔavrāhˈām, 
Genesis,17,15,7565,אֱלֹהִים֙ ,,ʔᵉlōhîm, 
Genesis,17,15,7566,אֶל־,,ʔel-,
Genesis,17,15,7567,אַבְרָהָ֔ם ,,ʔavrāhˈām, 
Genesis,20,9,9427,אֲבִימֶ֜לֶךְ ,,ʔᵃvîmˈeleḵ, 
Genesis,20,9,9428,לְ,,lᵊ,
Genesis,20,9,9429,אַבְרָהָ֗ם ,,ʔavrāhˈām, 
Genesis,20,10,9456,אֲבִימֶ֖לֶךְ ,,ʔᵃvîmˌeleḵ, 
Genesis,20,10,9457,אֶל־,,ʔel-,
Genesis,20,10,9458,אַבְרָהָ֑ם ,,ʔavrāhˈām, 
Genesis,41,38,23042,פַּרְעֹ֖ה ,,parʕˌō, 
Genesis,41,38,23043,אֶל־,,ʔel-,
Genesis,41,38,23044,עֲבָדָ֑יו ,,ʕᵃvāḏˈāʸw, 
Genesis,41,39,23056,פַּרְעֹה֙ ,,parʕˌō, 
Genesis,41,39,23057,אֶל־,,ʔel-,
Genesis,41,39,23058,יֹוסֵ֔ף ,,yôsˈēf, 
Genesis,41,41,23088,פַּרְעֹ֖ה ,,parʕˌō, 
Genesis,41,41,23089,אֶל־,,ʔel-,
Genesis,41,41,23090,יֹוסֵ֑ף ,,yôsˈēf, 
Exodus,7,14,32018,יְהוָה֙ ,,[yᵊhwˌāh], 
Exodus,7,14,32019,אֶל־,,ʔel-,
Exodus,7,14,32020,מֹשֶׁ֔ה ,,mōšˈeh, 
Exodus,7,19,32134,יְהוָ֜ה ,,[yᵊhwˈāh], 
Exodus,7,19,32135,אֶל־,,ʔel-,
Exodus,7,19,32136,מֹשֶׁ֗ה ,,mōšˈeh, 
Exodus,7,26,32314,יְהוָה֙ ,,[yᵊhwˌāh], 
Exodus,7,26,32315,אֶל־,,ʔel-,
Exodus,7,26,32316,מֹשֶׁ֔ה ,,mōšˈeh, 
Exodus,8,1,32391,יְהוָה֮ ,,[yᵊhwāh], 
Exodus,8,1,32392,אֶל־,,ʔel-,
Exodus,8,1,32393,מֹשֶׁה֒ ,,mōšˌeh, 
Exodus,30,11,45701,יְהוָ֖ה ,,[yᵊhwˌāh], 
Exodus,30,11,45702,אֶל־,,ʔel-,
Exodus,30,11,45703,מֹשֶׁ֥ה ,,mōšˌeh, 
Exodus,30,17,45827,יְהוָ֖ה ,,[yᵊhwˌāh], 
Exodus,30,17,45828,אֶל־,,ʔel-,
Exodus,30,17,45829,מֹשֶׁ֥ה ,,mōšˌeh, 
Exodus,30,22,45910,יְהוָ֖ה ,,[yᵊhwˌāh], 
Exodus,30,22,45911,אֶל־,,ʔel-,
Exodus,30,22,45912,מֹשֶׁ֥ה ,,mōšˌeh, 
Exodus,30,34,46083,יְהוָ֨ה ,,[yᵊhwˌāh], 
Exodus,30,34,46084,אֶל־,,ʔel-,
Exodus,30,34,46085,מֹשֶׁ֜ה ,,mōšˈeh, 
Exodus,31,1,46162,יְהוָ֖ה ,,[yᵊhwˌāh], 
Exodus,31,1,46163,אֶל־,,ʔel-,
Exodus,31,1,46164,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,5,14,54618,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,5,14,54619,אֶל־,,ʔel-,
Leviticus,5,14,54620,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,5,20,54747,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,5,20,54748,אֶל־,,ʔel-,
Leviticus,5,20,54749,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,6,1,54897,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,6,1,54898,אֶל־,,ʔel-,
Leviticus,6,1,54899,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,6,12,55131,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,6,12,55132,אֶל־,,ʔel-,
Leviticus,6,12,55133,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,6,17,55206,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,6,17,55207,אֶל־,,ʔel-,
Leviticus,6,17,55208,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,7,22,55734,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,7,22,55735,אֶל־,,ʔel-,
Leviticus,7,22,55736,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,7,28,55820,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,7,28,55821,אֶל־,,ʔel-,
Leviticus,7,28,55822,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,12,1,58708,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,12,1,58709,אֶל־,,ʔel-,
Leviticus,12,1,58710,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,13,1,58872,יְהוָ֔ה ,,[yᵊhwˈāh], 
Leviticus,13,1,58873,אֶל־,,ʔel-,
Leviticus,13,1,58874,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,13,1,58875,וְ,,wᵊ,
Leviticus,13,1,58876,אֶֽל־,,ʔˈel-,
Leviticus,13,1,58877,אַהֲרֹ֖ן ,,ʔahᵃrˌōn, 
Leviticus,21,1,64969,יְהוָה֙ ,,[yᵊhwˌāh], 
Leviticus,21,1,64970,אֶל־,,ʔel-,
Leviticus,21,1,64971,מֹשֶׁ֔ה ,,mōšˈeh, 
Leviticus,21,16,65216,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,21,16,65217,אֶל־,,ʔel-,
Leviticus,21,16,65218,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,22,17,65656,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,22,17,65657,אֶל־,,ʔel-,
Leviticus,22,17,65658,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,22,26,65839,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,22,26,65840,אֶל־,,ʔel-,
Leviticus,22,26,65841,מֹשֶׁ֥ה ,,mōšˌeh, 
Leviticus,23,1,65944,יְהוָ֖ה ,,[yᵊhwˌāh], 
Leviticus,23,1,65945,אֶל־,,ʔel-,
Leviticus,23,1,65946,מֹשֶׁ֥ה ,,mōšˌeh, 
