book,chapter,verse,monad,text,ktv,phtext,phsep
Genesis,24,61,12290,תָּ֨קָם ,,ttˌāqom, 
Genesis,24,61,12291,רִבְקָ֜ה ,,rivqˈā, 
Genesis,24,61,12292,וְ,,wᵊ,
Genesis,24,61,12293,נַעֲרֹתֶ֗יהָ ,,naʕᵃrōṯˈeʸhā, 
Genesis,31,14,16623,תַּ֤עַן ,,ttˈaʕan, 
Genesis,31,14,16624,רָחֵל֙ ,,rāḥˌēl, 
Genesis,31,14,16625,וְ,,wᵊ,
Genesis,31,14,16626,לֵאָ֔ה ,,lēʔˈā, 
Genesis,33,7,18194,תִּגַּ֧שׁ ,,ttiggˈaš, 
Genesis,33,7,18195,גַּם־,,gam-,
Genesis,33,7,18196,לֵאָ֛ה ,,lēʔˈā, 
Genesis,33,7,18197,וִ,,wi,
Genesis,33,7,18198,ילָדֶ֖יהָ ,,ylāḏˌeʸhā, 
Genesis,47,13,26819,תֵּ֜לַהּ ,,ttˈēlah, 
Genesis,47,13,26820,אֶ֤רֶץ ,,ʔˈereṣ, 
Genesis,47,13,26821,מִצְרַ֨יִם֙ ,,miṣrˈayim, 
Genesis,47,13,26822,וְ,,wᵊ,
Genesis,47,13,26823,אֶ֣רֶץ ,,ʔˈereṣ, 
Genesis,47,13,26824,כְּנַ֔עַן ,,kᵊnˈaʕan, 
Exodus,15,16,37100,תִּפֹּ֨ל ,,tippˌōl, 
Exodus,15,16,37102,אֵימָ֨תָה֙ ,,ʔêmˈāṯā, 
Exodus,15,16,37103,וָ,,wā,
Exodus,15,16,37104,פַ֔חַד ,,fˈaḥaḏ, 
Exodus,23,26,41464,תִהְיֶ֛ה ,,ṯihyˈeh, 
Exodus,23,26,41465,מְשַׁכֵּלָ֥ה ,,mᵊšakkēlˌā, 
Exodus,23,26,41466,וַ,,wa,
Exodus,23,26,41467,עֲקָרָ֖ה ,,ʕᵃqārˌā, 
Exodus,25,31,42447,תֵּעָשֶׂ֤ה ,,tēʕāśˈeh, 
Exodus,25,31,42448,הַ,,ha,
Exodus,25,31,42449,מְּנֹורָה֙ ,,mmᵊnôrˌā, 
Exodus,25,31,42450,יְרֵכָ֣הּ ,,yᵊrēḵˈāh, 
Exodus,25,31,42451,וְ,,wᵊ,
Exodus,25,31,42452,קָנָ֔הּ ,,qānˈāh, 
Leviticus,25,47,67997,תַשִּׂ֗יג ,,ṯaśśˈîḡ, 
Leviticus,25,47,67998,יַ֣ד ,,yˈaḏ, 
Leviticus,25,47,67999,גֵּ֤ר ,,gˈēr, 
Leviticus,25,47,68000,וְ,,wᵊ,
Leviticus,25,47,68001,תֹושָׁב֙ ,,ṯôšˌāv, 
Leviticus,25,47,68002,עִמָּ֔ךְ ,,ʕimmˈāḵ, 
Numeri,12,1,77589,תְּדַבֵּ֨ר ,,ttᵊḏabbˌēr, 
Numeri,12,1,77590,מִרְיָ֤ם ,,miryˈām, 
Numeri,12,1,77591,וְ,,wᵊ,
Numeri,12,1,77592,אַהֲרֹן֙ ,,ʔahᵃrˌōn, 
Numeri,20,11,82769,תֵּ֥שְׁתְּ ,,ttˌēšt, 
Numeri,20,11,82770,הָ,,hā,
Numeri,20,11,82771,עֵדָ֖ה ,,ʕēḏˌā, 
Numeri,20,11,82772,וּ,,û,
Numeri,20,11,82773,בְעִירָֽם׃ ס ,,vᵊʕîrˈām . s, 
Josua,6,17,115751,הָיְתָ֨ה ,,hāyᵊṯˌā, 
Josua,6,17,115752,הָ,,hā,
Josua,6,17,115753,עִ֥יר ,,ʕˌîr, 
Josua,6,17,115755,הִ֥יא ,,hˌî, 
Josua,6,17,115756,וְ,,wᵊ,
Josua,6,17,115757,כָל־,,ḵol-,
Josua,13,3,120412,תֵּחָשֵׁ֑ב ,,tēḥāšˈēv, 
Josua,13,3,120413,חֲמֵ֣שֶׁת׀ ,,ḥᵃmˈēšeṯ, 
Josua,13,3,120414,סַרְנֵ֣י ,,sarnˈê, 
Josua,13,3,120415,פְלִשְׁתִּ֗ים ,,fᵊlištˈîm, 
Josua,13,3,120416,הָ,,hā,
Josua,13,3,120417,עַזָּתִ֤י ,,ʕazzāṯˈî, 
Josua,13,3,120418,וְ,,wᵊ,
Josua,13,3,120419,הָ,,hā,
Josua,13,3,120420,אַשְׁדֹּודִי֙ ,,ʔašdôḏˌî, 
Josua,13,3,120421,הָ,,hā,
Josua,13,3,120422,אֶשְׁקְלֹונִ֣י ,,ʔešqᵊlônˈî, 
Josua,13,3,120423,הַ,,ha,
Josua,13,3,120424,גִּתִּ֔י ,,ggittˈî, 
Josua,13,3,120425,וְ,,wᵊ,
Josua,13,3,120426,הָ,,hā,
Josua,13,3,120427,עֶקְרֹונִ֖י ,,ʕeqrônˌî, 
Josua,13,3,120428,וְ,,wᵊ,
Josua,13,3,120429,הָ,,hā,
Josua,13,3,120430,עַוִּֽים׃ ,,ʕawwˈîm, . 
Judices,5,1,129958,תָּ֣שַׁר ,,ttˈāšar, 
Judices,5,1,129959,דְּבֹורָ֔ה ,,dᵊvôrˈā, 
Judices,5,1,129960,וּ,,û,
Judices,5,1,129961,בָרָ֖ק ,,vārˌāq, 
Judices,5,1,129962,בֶּן־,,ben-,
Judices,5,1,129963,אֲבִינֹ֑עַם ,,ʔᵃvînˈōʕam, 
Judices,11,38,135326,תֵּ֤לֶךְ ,,ttˈēleḵ, 
Judices,11,38,135327,הִיא֙ ,,hî, 
Judices,11,38,135328,וְ,,wᵊ,
Judices,11,38,135329,רֵ֣עֹותֶ֔יהָ ,,rˈēʕôṯˈeʸhā, 
Samuel_I,17,21,151204,תַּעֲרֹ֤ךְ ,,ttaʕᵃrˈōḵ, 
Samuel_I,17,21,151205,יִשְׂרָאֵל֙ ,,yiśrāʔˌēl, 
Samuel_I,17,21,151206,וּ,,û,
Samuel_I,17,21,151207,פְלִשְׁתִּ֔ים ,,fᵊlištˈîm, 
Reges_I,10,13,184653,תֵּ֥לֶךְ ,,ttˌēleḵ, 
Reges_I,10,13,184656,הִ֥יא ,,hˌî, 
Reges_I,10,13,184657,וַ,,wa,
Reges_I,10,13,184658,עֲבָדֶֽיהָ׃ ס ,,ʕᵃvāḏˈeʸhā . s, 
Reges_I,17,15,190121,תֹּ֧אכַל ,,ttˈōḵal, 
Reges_I,17,15,190122,־֯הִֽיא,הוא־,*hˈî-,
Reges_I,17,15,190123,֯וָ,ו,*wā,
Reges_I,17,15,190124, ֯ה֛וּא,היא ,*hˈû, 
Reges_I,17,15,190125,וּ,,û,
Reges_I,17,15,190126,בֵיתָ֖הּ ,,vêṯˌāh, 
Reges_II,1,13,195112,תִּֽיקַר־,,tˈîqar-,
Reges_II,1,13,195114,נַפְשִׁ֗י ,,nafšˈî, 
Reges_II,1,13,195115,וְ,,wᵊ,
Reges_II,1,13,195116,נֶ֨פֶשׁ ,,nˌefeš, 
Reges_II,1,13,195117,עֲבָדֶ֥יךָֽ ,,ʕᵃvāḏˌeʸḵˈā, 
Reges_II,1,13,195118,אֵ֛לֶּה ,,ʔˈēlleh, 
Reges_II,1,13,195119,חֲמִשִּׁ֖ים ,,ḥᵃmiššˌîm, 
Reges_II,8,1,199536,לְכִי֙ ,,lᵊḵˌî, 
Reges_II,8,1,199537, ֯אַ֣תְּ,אתי ,*ʔˈat, 
Reges_II,8,1,199538,וּ,,û,
Reges_II,8,1,199539,בֵיתֵ֔ךְ ,,vêṯˈēḵ, 
Reges_II,8,2,199571,תֵּ֤לֶךְ ,,ttˈēleḵ, 
Reges_II,8,2,199572,הִיא֙ ,,hî, 
Reges_II,8,2,199573,וּ,,û,
Reges_II,8,2,199574,בֵיתָ֔הּ ,,vêṯˈāh, 
Jesaia,11,2,216099,נָחָ֥ה ,,nāḥˌā, 
Jesaia,11,2,216101,ר֣וּחַ ,,rˈûₐḥ, 
