####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
">B/"		sp=subs:gn=m:rt=>BH:vc=>@B:gl=father
">B=/"		sp=subs:gn=m:rt=>BB?:vc=>;B:gl=bud
">BGT>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABAG\:T@>:gl=Abagtha
">BD["		sp=verb:vc=>@BAD:gl=perish
">BDH/"		sp=subs:vc=>\:AB;D@H:gl=what is lost
">BDH=/"	sp=subs:gn=f:vc=>\:ABAD.OH:gl=destruction
">BDWN/"	sp=subs:gn=f:vc=>\:ABAD.OWN:gl=destruction
">BDN/"		sp=subs:gn=m:vc=>AB\:D@N:gl=destruction
">BDN=/"	sp=subs:gn=m:vc=>@B\:D@N:gl=destruction
">BH["		sp=verb:vc=>@B@H:gl=want
">BH/"		sp=subs:gn=m:rt=>BH:vc=>;BEH:gl=reed
">BWJ/"		sp=subs:vc=>\:ABOWJ:gl=desire
">BWS/"		sp=subs:gn=m:vc=>;BW.S:gl=manger
">BXH/"		sp=subs:vc=>IB\:X@H:gl=<uncertain>
">BVJX/"	sp=subs:rt=BVX:vc=>\:ABAV.IJXA:gl=water-melon
">BJ/"		sp=nmpr:sm=pers:gn=f:vc=>\:ABIJ:gl=Abi
">BJ_<LBWN/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ_<AL\:BOWN:gl=Abi-albon
">BJ>L/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ>;L:gl=Abiel
">BJ>SP/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ>@S@P:gl=Abiasaph
">BJB/"		sp=subs:rt=>BB:vc=>@BIJB:gl=ears
">BJGJL/"	sp=nmpr:sm=pers:gn=f:vc=>\:ABIJGAJIL:gl=Abigail
">BJDN/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJD@N:gl=Abidan
">BJD</"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJD@<:gl=Abida
">BJH/"		sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ.@H:gl=Abijah
">BJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ.@HW.:gl=Abijah
">BJHW>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJHW.>:gl=Abihu
">BJHWD/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJHW.D:gl=Abihud
">BJHJL/"	sp=nmpr:sm=pers:gn=f:vc=>\:ABIJHAJIL:gl=Abihail
">BJWN/"	sp=adjv:vc=>EB\:JOWN:gl=poor
">BJWNH/"	sp=subs:vc=>\:ABIJ.OWN@H:gl=caper-fruit
">BJXJL/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJXAJIL:gl=Abihail
">BJVWB/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJVW.B:gl=Abitub
">BJVL/"	sp=nmpr:sm=pers:gn=f:vc=>\:ABIJV@L:gl=Abital
">BJM/"		sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ.@M:gl=Abijah
">BJM>L/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJM@>;L:gl=Abimael
">BJMLK/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJMELEK\::gl=Abimelech
">BJNDB/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJN@D@B:gl=Abinadab
">BJN<M/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJNO<AM:gl=Abinoam
">BJSP/"	sp=nmpr:sm=pers:gn=m:vc=>EB\:J@S@P:gl=Ebiasaph
">BJ<ZR/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ<EZER:gl=Abiezer
">BJR/"		sp=adjv:rt=>BR:vc=>AB.IJR:gl=strong
">BJR=/"	sp=adjv:rt=>BR:vc=>@BIJR:gl=strong
">BJRM/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJR@M:gl=Abiram
">BJCG/"	sp=nmpr:sm=pers:gn=f:vc=>\:ABIJCAG:gl=Abishag
">BJCW</"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJCW.<A:gl=Abishua
">BJCWR/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJCW.R:gl=Abishur
">BJCJ/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJCAJ:gl=Abishai
">BJCLWM/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJC@LOWM:gl=Abishalom
">BJTR/"	sp=nmpr:sm=pers:gn=m:vc=>EB\:J@T@R:gl=Abiathar
">BK["		sp=verb:vc=>@BAK\::gl=bear along
">BL"		sp=intj:vc=>\:AB@L:gl=verily
">BL["		sp=verb:vc=>@BAL:gl=mourn
">BL/"		sp=nmpr:fc=ae:sm=topo:vc=>@B;L:gl=Abel
">BL=["		sp=verb:vc=>@BAL:gl=dry up
">BL=/"		sp=subs:vc=>@B;L:gl=water-course
">BL==/"	sp=subs:gn=m:vc=>;BEL:gl=mourning rites
">BL===/"	sp=adjv:rt=>BL:vc=>@B;L:gl=mourning
">BL====/"	sp=subs:gn=m:rt=JBL:vc=>UB@L:gl=canal
">BL_BJT_M<KH/"	sp=nmpr:sm=topo:vc=>@B;L_B.;JT_MA<\:AK@H:gl=Abel-beth-maacah
">BL_HCVJM/"	sp=nmpr:sm=topo:vc=>@B;L_HAC.IV.IJM:gl=Abel Shittim
">BL_KRMJM/"	sp=nmpr:sm=topo:vc=>@B;L_K.\:R@MIJM:gl=Abel Keramim
">BL_MXWLH/"	sp=nmpr:sm=topo:vc=>@B;L_M\:XOWL@H:gl=Abel Meholah
">BL_MJM/"	sp=nmpr:sm=topo:vc=>@B;L_M@JIM:gl=Abel Maim
">BL_MYRJM/"	sp=nmpr:sm=topo:vc=>@B;L_MIY\:RAJIM:gl=Abel Mizraim
">BN/"		sp=subs:fc=seg:gn=f:vc=>EBEN:gl=stone
">BN=/"		sp=subs:fc=seg:gn=m:vc=>OBEN:gl=potter's wheel
">BN_H<ZR/"	sp=nmpr:sm=topo:vc=>EBEN_H@<;ZER:gl=Ebenezer
