####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################

#ident "@(#)lexicon	1.80 14/07/04"

# The spelling of proper names is that of the RSV

">B/"		sp=subs:gn=m:vc=>@B:gl=father
">B=/"		sp=subs:gn=m:vc=>;B:gl=bud
">BGT>/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABAG\:T@>:gl=Abagtha
">BD["		sp=verb:vc=>@BAD:gl=to perish
">BDH/"		sp=subs:vc=>\:AB;D@H:gl=what is lost
">BDH=/"	sp=subs:gn=f:vc=>\:ABAD.OH:gl=destruction
">BDWN/"	sp=subs:gn=f:vc=>\:ABAD.OWN:gl=destruction
">BDN/"		sp=subs:gn=m:vc=>AB\:D@N:gl=destruction
">BDN=/"	sp=subs:gn=m:vc=>@B\:D@N:gl=destruction
">BH["		sp=verb:vc=>@B@H:gl=to want
">BH/"		sp=subs:gn=m:vc=>;BEH:gl=reed
">BWJ/"		sp=subs:vc=>\:ABOWJ:gl=desire
">BWS/"		sp=subs:gn=m:vc=>;BW.S:gl=manger
">BXH/"		sp=subs:vc=>IB\:X@H:gl=<uncertain>
">BVXJM/"	sp=subs:vc=>\:ABAV.IXIJM:gl=water-melons
">BVJX/"	sp=subs:rt=BVX:vc=>\:ABAV.IJXA:gl=water-melon
">BJ"		sp=intj:vc=>@BIJ:gl=o that
">BJ/"		sp=nmpr:sm=pers:gn=f:vc=>\:ABIJ:gl=Abi
">BJ_<LBWN/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ_<AL\:BOWN:gl=Abi-albon
">BJ>L/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ>;L
">BJ>SP/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ>@S@P
">BJB/"		sp=subs:vc=>@BIJB:gl=ears
">BJGJL/"	sp=nmpr:sm=pers:gn=f:vc=>\:ABIJGAJIL
">BJDN/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJD@N
">BJD</"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJD@<
">BJH/"		sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ.@H
">BJHW/"	sp=nmpr:sm=pers:gn=m:vc=>\:ABIJ.@HW.
