########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
">B/"		sp=subs:gn=m:vc=>AB:gl=father
">B=/"		sp=subs:gn=m:vc=>;B:gl=fruit
">BD["		sp=verb:vc=>\:ABAD:gl=perish
">BN/"		sp=subs:gn=f:vc=>EBEN:gl=stone
">GRH/"		sp=subs:vc=>IG.\:R@H:gl=letter
">DJN"		sp=advb:vc=>\:EDAJIN:gl=then
">DR/"		sp=nmpr:sm=mens:vc=>\:AD@R:gl=Adar
">DR=/"		sp=subs:vc=>ID.AR:gl=threshing-floor
">DRGZR/"	sp=subs:vc=>\:ADAR\:G.@ZAR:gl=counselor
">DRZD>"	sp=advb:vc=>AD\:RAZ\:D.@>:gl=with zeal
">DR</"		sp=subs:gn=f:vc=>ED\:R@<:gl=arm
">ZD>"		sp=advb:vc=>AZ\:D.@>:gl=publicly known
">ZH["		sp=verb:vc=>\:AZ@H:gl=heat
">ZL["		sp=verb:vc=>\:AZAL:gl=go
">X/"		sp=subs:ls=nmdi:vc=>AX:gl=brother
">XJDH/"	sp=subs:vc=>\:AXIJD@H:gl=riddle
">XMT>/"	sp=nmpr:sm=topo:vc=>AX\:M\:T@>:gl=Ecbatana
">XR/"		sp=subs:ls=ppre:vc=>AXAR:gl=after
">XRJ/"		sp=adjv:gn=f:vc=>@X\:@RIJ:gl=another
">XRJ=/"	sp=subs:vc=>AX\:ARIJ:gl=end
">XRJN"		sp=advb:vc=>@X\:@R;JN:gl=at last
">XRN/"		sp=adjv:gn=m:vc=>@X\:@R@N:gl=another
">XCDRPN/"	sp=subs:vc=>\:AXAC\:D.AR\:P.AN:gl=satrap
">JLN/"		sp=subs:gn=m:vc=>IJL@N:gl=tree
">JMTNJ/"	sp=adjv:vc=>;JM\:T@NIJ:gl=terrible
">JTJ/"		sp=subs:ls=nmcp:vc=>IJTAJ:gl=existence
">KL["		sp=verb:vc=>\:AKAL:gl=eat
">L"		sp=nega:vc=>AL:gl=not
">L="		sp=prde:gn=unknown:nu=p:vc=>;L:gl=these
">LH"		sp=prde:gn=unknown:nu=p:vc=>;L.EH:gl=these
">LH/"		sp=subs:gn=m:vc=>\:EL@H.:gl=god
">LW"		sp=intj:vc=>\:ALW.:gl=behold
">LJN"		sp=prde:gn=unknown:nu=p:vc=>IL.;JN:gl=these
">LK"		sp=prde:gn=unknown:nu=p:vc=>IL.;K\::gl=these
">LP/"		sp=subs:ls=card:vc=>\:ALAP:gl=thousand
">MH/"		sp=subs:gn=f:vc=>AM.@H:gl=cubit
